"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.472166670E-3,-2.752775574E0,6.268065491E0,6.398444366E0
2.262916672E-2,-1.694476318E0,6.522985382E0,8.343200226E0
4.278616677E-2,-8.541238403E-1,6.654861145E0,9.386081543E0
6.294316682E-2,-1.006057892E0,6.659501495E0,8.716972961E0
8.310016664E-2,-1.877096558E0,6.617588654E0,7.212451630E0
1.032571667E-1,-2.550995178E0,6.524781647E0,5.938001862E0
1.234141667E-1,-2.631976776E0,6.514303436E0,6.004313965E0
1.435721668E-1,-2.163600769E0,6.534511414E0,6.868766327E0
1.637291666E-1,-1.804198151E0,6.578070831E0,7.499255219E0
1.838861667E-1,-1.661245422E0,6.470744019E0,7.646548920E0
2.040431667E-1,-1.926493835E0,6.457122345E0,7.235952759E0
2.242001668E-1,-2.166295166E0,6.411616974E0,6.808441772E0
2.443571668E-1,-2.162103882E0,6.420598297E0,6.641987915E0
2.645141666E-1,-1.941163330E0,6.421047363E0,6.871011658E0
2.846711667E-1,-1.610650635E0,6.441405029E0,7.311096497E0
3.048291667E-1,-1.461710358E0,6.507118378E0,7.535928955E0
3.249861668E-1,-1.506766663E0,6.442901917E0,7.350764008E0
3.451431666E-1,-1.729503479E0,6.374494171E0,7.048841858E0
3.653001667E-1,-1.837129669E0,6.327940979E0,7.040908356E0
3.854571667E-1,-1.847757568E0,6.326593781E0,7.168742523E0
4.056141668E-1,-1.752705231E0,6.235133972E0,7.332651672E0
4.257711668E-1,-1.711241455E0,6.318809967E0,7.280859375E0
4.459281666E-1,-1.542691956E0,6.531517639E0,7.194488983E0
4.660861667E-1,-1.414708099E0,6.582711182E0,7.118447113E0
4.862431667E-1,-1.429227905E0,6.599027252E0,7.213649139E0
5.064001668E-1,-1.403780823E0,6.450536041E0,7.400610352E0
5.265571666E-1,-1.545985107E0,6.392905884E0,7.357949066E0
5.467141666E-1,-1.618733826E0,6.374344482E0,7.302564240E0
5.668711667E-1,-1.404529266E0,6.451134796E0,7.365283813E0
5.870281667E-1,-1.238674164E0,6.574627991E0,7.328759766E0
6.071851668E-1,-1.160686340E0,6.576124878E0,7.318131866E0
6.273421666E-1,-1.243164825E0,6.556815033E0,7.435038757E0
6.474991667E-1,-1.325194244E0,6.395300903E0,7.480394440E0
6.676569167E-1,-1.317410431E0,6.278094635E0,7.542814636E0
6.878139167E-1,-1.177451477E0,6.287225647E0,7.598498840E0
7.079709168E-1,-1.033450928E0,6.389163666E0,7.673642578E0
7.281279168E-1,-9.638456726E-1,6.470893707E0,7.605534210E0
7.482849166E-1,-9.282197571E-1,6.529871063E0,7.379055176E0
7.684419167E-1,-8.514294434E-1,6.511609039E0,7.326215057E0
7.885989167E-1,-9.294172668E-1,6.397995300E0,7.293882294E0
8.087559168E-1,-1.045575714E0,6.414161682E0,7.376809845E0
8.289129166E-1,-8.637039185E-1,6.406078491E0,7.701634369E0
8.490709167E-1,-6.806346130E-1,6.424789581E0,7.761958923E0
8.692279167E-1,-7.256909180E-1,6.428681488E0,7.585775299E0
8.893849168E-1,-7.497908020E-1,6.377787323E0,7.506589966E0
9.095419168E-1,-6.872209167E-1,6.350394287E0,7.592361603E0
9.296989166E-1,-7.075785828E-1,6.284680939E0,7.556735687E0
9.498559167E-1,-7.927514648E-1,6.305337982E0,7.376360779E0
9.700129167E-1,-7.527845764E-1,6.451134796E0,7.361691284E0
9.901699168E-1,-6.487509155E-1,6.647676086E0,7.269333344E0
1.010326917E0,-5.885760498E-1,6.649023285E0,7.203619995E0
1.030483917E0,-8.318202209E-1,6.440357208E0,7.176376648E0
1.050641917E0,-1.150208130E0,6.275400238E0,7.336693268E0
1.070798917E0,-1.117426300E0,6.203399963E0,7.619155884E0
1.090955917E0,-1.012494507E0,6.285878448E0,7.552245026E0
1.111112917E0,-1.105451202E0,6.383924561E0,7.431146851E0
1.131269917E0,-1.174607391E0,6.339467010E0,7.341632996E0
1.151426917E0,-1.057401123E0,6.341712341E0,7.475005646E0
1.171583917E0,-8.261320496E-1,6.417754211E0,7.432194672E0
1.191740917E0,-7.873626709E-1,6.371799774E0,7.123536530E0
1.211897917E0,-9.946815491E-1,6.335724792E0,6.913972321E0
1.232054917E0,-1.133892059E0,6.403234406E0,7.510332184E0
1.252211917E0,-8.437953186E-1,6.209237823E0,7.983049164E0
1.272369917E0,-5.257067871E-1,6.082152100E0,7.836803284E0
1.292526917E0,-3.881428528E-1,6.236930237E0,7.648045807E0
1.312683917E0,-4.153862000E-1,6.388864288E0,7.649542694E0
1.332840917E0,-4.688250732E-1,6.227050781E0,7.611521759E0
1.352997917E0,-6.563850403E-1,5.940845947E0,7.573351135E0
1.373154917E0,-7.900570679E-1,5.933511200E0,7.776179352E0
1.393311917E0,-8.978329468E-1,5.971831512E0,8.037386169E0
1.413468917E0,-7.478448486E-1,5.681136017E0,7.876470795E0
1.433625917E0,-8.373587036E-1,5.707630920E0,7.434140625E0
1.453782917E0,-1.069675598E0,6.269113312E0,7.535030823E0
1.473939917E0,-9.090596008E-1,6.380930786E0,7.380252686E0
1.494096917E0,-9.111552429E-1,5.995332642E0,6.941964111E0
1.514253917E0,-1.340612183E0,5.865253143E0,6.739135895E0
1.534411917E0,-1.850302277E0,5.986351318E0,6.946754150E0
1.554568917E0,-2.242037659E0,5.901926880E0,6.984475708E0
1.574725917E0,-1.589394836E0,6.043532410E0,7.141798553E0
1.594882917E0,-1.237626343E0,6.052962799E0,7.116201782E0
1.615039917E0,-8.725355530E-1,6.428980865E0,7.554340668E0
1.635196917E0,-2.097138977E-1,6.692732391E0,7.934550018E0
