"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.528541721E-3,-3.307671661E0,5.897286530E0,6.093528442E0
2.268254175E-2,-2.690056000E0,5.956862640E0,7.752528534E0
4.283654178E-2,-2.114652557E0,6.080655212E0,8.508755951E0
6.299054180E-2,-2.041903839E0,6.320456543E0,8.072712708E0
8.314554184E-2,-2.321821747E0,6.239924011E0,7.297923889E0
1.032995419E-1,-2.729573822E0,6.103258209E0,7.048991547E0
1.234528334E-1,-2.842439117E0,5.957162018E0,7.025640106E0
1.436068334E-1,-2.794089661E0,5.771548004E0,7.280260620E0
1.637608334E-1,-2.806663513E0,5.653593292E0,7.407496033E0
1.839148335E-1,-2.819087677E0,5.694458313E0,7.292834473E0
2.040698335E-1,-2.620450745E0,5.822741547E0,7.200476532E0
2.242238335E-1,-2.446811829E0,5.861211548E0,7.211104431E0
2.443778333E-1,-2.521955566E0,5.830824738E0,7.268135834E0
2.645318334E-1,-2.494562531E0,5.683980103E0,7.611970825E0
2.846858334E-1,-2.375559998E0,5.589227142E0,8.186775513E0
3.048398334E-1,-2.405797119E0,5.426216125E0,8.388555908E0
3.249938334E-1,-2.595303040E0,5.555098114E0,8.110733643E0
3.451488335E-1,-2.461780701E0,5.751639404E0,7.431296539E0
3.653028335E-1,-2.063758392E0,6.054759064E0,7.465575256E0
3.854568335E-1,-1.777852936E0,6.166726227E0,7.659871216E0
4.056108335E-1,-1.665736084E0,6.055058441E0,7.487429810E0
4.257648333E-1,-1.814376984E0,6.152206421E0,7.442822571E0
4.459188334E-1,-1.963766327E0,6.124963074E0,7.364685059E0
4.660738334E-1,-2.136956177E0,6.087840271E0,7.272177429E0
4.862278334E-1,-2.215692444E0,5.908363495E0,7.116501160E0
5.063818335E-1,-2.232158203E0,5.744903412E0,7.319329376E0
5.265358335E-1,-2.143243103E0,5.735173645E0,7.820636902E0
5.466898335E-1,-1.939965820E0,5.643414459E0,7.730524292E0
5.668438335E-1,-2.139650574E0,5.905519409E0,7.379055176E0
5.869978333E-1,-2.177372131E0,6.147715759E0,7.270979919E0
6.071528334E-1,-2.165397034E0,6.032754822E0,7.372618561E0
6.273068334E-1,-2.260748749E0,5.809568939E0,7.799979858E0
6.474608334E-1,-2.176174622E0,5.654790802E0,8.164621582E0
6.676148335E-1,-2.212698669E0,5.784720612E0,8.463549957E0
6.877688335E-1,-2.138153687E0,5.962700500E0,8.320297852E0
7.079228335E-1,-1.882784729E0,6.063740387E0,8.188122711E0
7.280778335E-1,-1.688189392E0,6.049519958E0,8.165968781E0
7.482318333E-1,-1.598226471E0,5.931116180E0,7.995323639E0
7.683858334E-1,-1.714983673E0,5.826783142E0,7.764503632E0
7.885398334E-1,-1.854792938E0,5.891598358E0,7.877069550E0
8.086938334E-1,-1.663939819E0,5.893244934E0,8.070766754E0
8.288478334E-1,-1.476679230E0,5.929170227E0,7.720046082E0
8.490018335E-1,-1.431473236E0,6.030509491E0,7.411238251E0
