"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.234250074E-3,-3.464545441E0,4.262685699E0,7.510481873E0
2.238725009E-2,-2.978206787E0,4.215084686E0,9.370813293E0
4.254025011E-2,-1.944456482E0,4.454886017E0,9.773176575E0
6.269425014E-2,-1.780098267E0,4.816833344E0,9.000782776E0
8.284725016E-2,-2.019899597E0,4.883295135E0,8.321495361E0
1.030002502E-1,-2.374063110E0,4.811444550E0,8.035889282E0
1.231532500E-1,-2.324067078E0,4.631668396E0,8.107440491E0
1.433072500E-1,-2.167941742E0,4.579427032E0,8.318202209E0
1.634602500E-1,-2.062560883E0,4.615951080E0,8.376880188E0
1.836136668E-1,-2.136207733E0,4.618196411E0,8.368796997E0
2.037666668E-1,-2.204016724E0,4.494403839E0,8.303682404E0
2.239206668E-1,-2.165995789E0,4.463567963E0,8.437953186E0
2.440736666E-1,-2.062261505E0,4.515959015E0,8.433462524E0
2.642266667E-1,-1.902843018E0,4.621190186E0,8.342601471E0
2.843796667E-1,-1.922452240E0,4.564907227E0,8.350684662E0
3.045336667E-1,-2.091301117E0,4.488266602E0,8.467741241E0
3.246866667E-1,-2.224973145E0,4.428989868E0,8.488248596E0
3.448396667E-1,-2.236349487E0,4.356390839E0,8.657396851E0
3.649926668E-1,-2.171534271E0,4.471651154E0,9.065747681E0
3.851466668E-1,-1.905986481E0,4.594545593E0,9.115294647E0
4.052996668E-1,-1.685345306E0,4.736749878E0,8.861871643E0
4.254526668E-1,-1.571432190E0,4.758454742E0,8.829838257E0
4.456056668E-1,-1.628164215E0,4.759652252E0,8.711733856E0
4.657586666E-1,-1.644180908E0,4.671934662E0,8.834029541E0
4.859126667E-1,-1.689237213E0,4.569846954E0,8.766519928E0
5.060656667E-1,-1.661694489E0,4.483925629E0,8.906628571E0
5.262186667E-1,-1.555415497E0,4.414919128E0,8.818162537E0
5.463726667E-1,-1.578916626E0,4.510121155E0,8.487649841E0
5.665256667E-1,-1.649420013E0,4.643194427E0,8.061186676E0
5.866786668E-1,-1.738933868E0,4.538262634E0,7.713310089E0
6.068316668E-1,-1.957180023E0,4.433330841E0,7.948321381E0
6.269846668E-1,-1.935175781E0,4.427043915E0,8.519683228E0
6.471386668E-1,-1.882036285E0,4.473297729E0,8.608448639E0
6.672916668E-1,-1.825603638E0,4.525539093E0,8.485554199E0
6.874446666E-1,-1.883533173E0,4.537663879E0,8.352929993E0
7.075976667E-1,-1.852996674E0,4.557572479E0,8.221952362E0
7.277516667E-1,-1.796414337E0,4.619244232E0,8.330626373E0
7.479046667E-1,-1.618733826E0,4.589007111E0,8.806636505E0
7.680576667E-1,-1.510209503E0,4.519701233E0,9.025481415E0
7.882106667E-1,-1.376537476E0,4.524341583E0,9.288334808E0
8.083646668E-1,-1.183439026E0,4.499343567E0,9.083860016E0
8.285176668E-1,-1.149759064E0,4.635859680E0,8.770112457E0
8.486706668E-1,-1.062789917E0,4.694238281E0,8.357270966E0
8.688236668E-1,-1.043779449E0,4.716841278E0,8.220006409E0
8.889776669E-1,-1.003213806E0,4.669539642E0,8.536897430E0
9.091306666E-1,-1.059347076E0,4.559817810E0,8.490344238E0
9.292836667E-1,-1.132993927E0,4.761149139E0,8.085136871E0
9.494366667E-1,-1.084195404E0,4.863087158E0,8.233478394E0
9.695906667E-1,-1.108145599E0,4.718188477E0,8.972042542E0
9.897436667E-1,-1.233584747E0,4.611759796E0,9.184301147E0
1.009896667E0,-1.235081635E0,4.784350891E0,8.707093506E0
1.030049667E0,-1.165177002E0,4.887636108E0,8.435707855E0
1.050203667E0,-1.179247742E0,4.744833069E0,8.667276306E0
1.070356667E0,-1.366358643E0,4.659510498E0,8.843010864E0
1.090509667E0,-1.445693665E0,4.697232056E0,8.400830383E0
1.110662667E0,-1.303040314E0,4.758754120E0,8.211623840E0
1.130816667E0,-1.054407349E0,4.762047272E0,8.287216644E0
1.150969667E0,-1.031504974E0,4.773423615E0,8.399932251E0
1.171122667E0,-1.032552795E0,4.795128479E0,8.418194275E0
1.191275000E0,-9.892927551E-1,4.822671204E0,8.152646484E0
1.211429000E0,-8.834628296E-1,4.772525482E0,8.093968506E0
1.231582000E0,-7.454498291E-1,4.717739410E0,8.369246063E0
1.251735000E0,-7.511380005E-1,4.732708282E0,8.666976929E0
1.271888000E0,-6.872209167E-1,4.788093109E0,8.650211792E0
1.292042000E0,-5.764512634E-1,4.902155914E0,8.575367432E0
1.312195000E0,-4.602928162E-1,5.091063080E0,8.463699646E0
1.332348000E0,-4.032614136E-1,5.098397827E0,8.222401428E0
1.352501000E0,-5.893244934E-1,4.976102142E0,8.131240997E0
1.372655000E0,-7.719447327E-1,4.861290894E0,8.344697113E0
1.392808000E0,-8.175997925E-1,4.781207428E0,8.511899414E0
1.412961000E0,-8.583151245E-1,4.754712524E0,8.411607971E0
1.433114000E0,-1.076261902E0,4.695884857E0,8.470136261E0
1.453268000E0,-1.271306305E0,4.657714233E0,8.589288483E0
1.473421000E0,-1.199755096E0,4.731211395E0,8.485703888E0
1.493574000E0,-8.910969543E-1,4.945565643E0,8.363857269E0
1.513727000E0,-6.227050781E-1,5.150339813E0,8.379873962E0
1.533881000E0,-4.629872131E-1,5.261857910E0,8.232430573E0
1.554034000E0,-5.872288513E-1,5.302722931E0,8.038284302E0
1.574187000E0,-6.248007202E-1,5.223537598E0,7.843539276E0
1.594340000E0,-6.152206421E-1,5.225184174E0,8.049061890E0
1.614494000E0,-6.304888916E-1,5.198838959E0,8.359366608E0
1.634647000E0,-5.713618469E-1,5.200186157E0,8.568332062E0
1.654800000E0,-6.649172974E-1,5.153034210E0,8.439450073E0
1.674953000E0,-6.366261292E-1,5.131928101E0,8.313112793E0
1.695107000E0,-5.150788879E-1,5.189558258E0,8.410859528E0
1.715260000E0,-4.192781067E-1,5.179080048E0,8.498577118E0
1.735413000E0,-4.028123474E-1,5.111720123E0,8.479566650E0
1.755566000E0,-3.505709839E-1,5.037624207E0,8.656648407E0
1.775720000E0,-3.385958862E-1,4.986280975E0,8.873846741E0
1.795873000E0,-4.451742554E-1,5.129682770E0,8.809330902E0
1.816026000E0,-3.430865479E-1,5.168003082E0,8.474327545E0
1.836179000E0,-2.520758057E-1,5.335804138E0,8.174650726E0
1.856333000E0,-2.302212524E-1,5.397775269E0,8.070766754E0
