"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.858920837E-2,-1.446442108E0,5.410947876E0,7.420518951E0
3.874220839E-2,-9.104067993E-1,5.568869476E0,8.975784760E0
5.889620841E-2,-5.897735596E-1,5.528902588E0,9.574988708E0
7.905020844E-2,-8.208929443E-1,5.406756592E0,9.003776550E0
9.920320846E-2,-1.231938171E0,5.278173981E0,8.367449799E0
1.193572085E-1,-1.680405579E0,5.117557983E0,8.083190918E0
1.395112083E-1,-1.754052429E0,5.007387085E0,8.223898315E0
1.596642083E-1,-1.589544525E0,5.065615997E0,8.403375092E0
1.798182083E-1,-1.445244598E0,5.082530823E0,8.530610504E0
1.999722084E-1,-1.588047638E0,4.910538483E0,8.739875336E0
2.201252084E-1,-1.679357758E0,4.761298828E0,8.735085297E0
2.402792084E-1,-1.634750519E0,4.911735992E0,8.574768677E0
2.604322084E-1,-1.549727325E0,5.049898682E0,8.256680145E0
2.805862084E-1,-1.597627716E0,5.056185608E0,8.225694580E0
3.007402085E-1,-1.688039703E0,5.063520355E0,8.319250031E0
3.208932083E-1,-1.586999817E0,5.031037903E0,8.400531006E0
3.410472083E-1,-1.462309113E0,4.984035645E0,8.472830658E0
3.612012083E-1,-1.392254791E0,4.930896149E0,8.813372498E0
3.813542083E-1,-1.362915802E0,4.981790314E0,8.950337677E0
4.015082084E-1,-1.239123230E0,5.022056580E0,8.593629456E0
4.216622084E-1,-1.242715759E0,4.978347473E0,8.315358124E0
4.418152084E-1,-1.200952606E0,4.860692139E0,8.381071472E0
4.619692084E-1,-1.137185211E0,4.895419922E0,8.454568634E0
4.821232085E-1,-1.070124664E0,4.991669769E0,8.256979523E0
5.022762085E-1,-1.130000153E0,5.091512146E0,7.963290253E0
5.224302083E-1,-1.328188019E0,5.144202576E0,7.946525116E0
5.425842083E-1,-1.291663971E0,5.106331329E0,8.033793640E0
5.627372083E-1,-1.207389221E0,5.025499420E0,8.179141388E0
5.828912084E-1,-9.134005737E-1,5.010530548E0,8.637338562E0
6.030452084E-1,-6.189628601E-1,5.108127594E0,9.043144684E0
6.231982084E-1,-6.662644958E-1,5.158123627E0,9.022188263E0
6.433522084E-1,-8.608598328E-1,5.113217010E0,8.490793304E0
6.635052084E-1,-1.036744080E0,5.115162964E0,8.020770721E0
6.836592085E-1,-1.137035522E0,5.216502228E0,7.942483521E0
7.038132083E-1,-9.312135315E-1,5.324427795E0,8.193212128E0
7.239662083E-1,-8.508306885E-1,5.373974762E0,8.488547974E0
7.441202083E-1,-8.806187439E-1,5.465584259E0,8.344697113E0
7.642742083E-1,-1.091530151E0,5.359305267E0,7.640860748E0
7.844272084E-1,-1.438209229E0,5.495072937E0,7.467670898E0
8.045812084E-1,-1.310375061E0,5.450316010E0,7.914791107E0
8.247352084E-1,-1.038690033E0,5.523813171E0,8.311466217E0
8.448882084E-1,-9.268725586E-1,5.573509827E0,8.526718597E0
8.650422085E-1,-7.955955505E-1,5.552852783E0,8.388256531E0
8.851962085E-1,-7.417076111E-1,5.533393250E0,8.301886139E0
9.053492083E-1,-9.023236084E-1,5.568570099E0,8.234526215E0
9.255032083E-1,-9.372010803E-1,5.552852783E0,7.654632111E0
9.456562083E-1,-7.882608032E-1,5.447022858E0,7.197931824E0
9.658102083E-1,-7.852670288E-1,5.528453522E0,7.690856781E0
9.859642084E-1,-6.661148071E-1,5.551804962E0,8.597820740E0
1.006117208E0,-4.388873291E-1,5.479804688E0,8.787326660E0
1.026271208E0,-3.875440979E-1,5.511838074E0,8.150999908E0
1.046425208E0,-4.207749939E-1,5.700296173E0,7.782017212E0
1.066578208E0,-4.822970581E-1,5.816903687E0,7.781568146E0
1.086732208E0,-4.317022705E-1,5.956862640E0,7.967631226E0
1.106886208E0,-1.475930786E-1,6.146368561E0,8.342451782E0
1.127039208E0,3.332070923E-1,5.952072601E0,8.735684052E0
1.147193208E0,2.203417969E-1,5.632337494E0,8.642427979E0
1.167346208E0,-4.014651489E-1,5.672903137E0,8.559799805E0
1.187500208E0,-6.150709534E-1,5.679639130E0,8.329428864E0
1.207654208E0,-5.050497437E-1,5.631289673E0,7.900720367E0
1.227807208E0,-4.369413757E-1,5.666466522E0,7.491621094E0
1.247961208E0,-4.758604431E-1,5.721102905E0,7.217690735E0
1.268115208E0,-5.396278381E-1,5.646408234E0,7.378456421E0
1.288268208E0,-6.201603699E-1,5.599106598E0,7.473508759E0
1.308422208E0,-4.998106384E-1,5.671705627E0,7.339687042E0
1.328576208E0,-5.110372925E-1,5.795647888E0,7.227719879E0
1.348729208E0,-5.049000549E-1,5.913003845E0,7.300767975E0
1.368883208E0,-3.637435913E-1,5.979315948E0,7.533683624E0
1.389036208E0,-3.944297791E-1,6.069578247E0,7.663463745E0
1.409190208E0,-4.492158508E-1,5.977669373E0,7.682773590E0
1.429344208E0,-4.540058899E-1,5.804928589E0,7.694299622E0
1.449497208E0,-1.601669312E-1,5.588179321E0,7.773784332E0
1.469651208E0,-1.592687988E-1,5.166955261E0,7.989635468E0
1.489805208E0,-6.162684631E-1,5.433101807E0,8.505313110E0
1.509958208E0,-1.701960754E-1,5.797593842E0,8.616232452E0
1.530112208E0,2.911445618E-1,5.860762482E0,8.110134888E0
1.550266208E0,1.462458801E-1,6.009403381E0,7.940387878E0
1.570419208E0,2.095642090E-3,5.935307465E0,7.680977325E0
1.590573208E0,3.697311401E-2,5.625002747E0,7.464677124E0
1.610726208E0,-6.586303711E-3,5.267246704E0,7.537874908E0
1.630880208E0,-8.038284302E-2,5.172344055E0,7.543413391E0
1.651034208E0,4.146377563E-2,5.287155304E0,7.453300781E0
1.671187208E0,2.656974792E-1,5.521867218E0,7.454198914E0
1.691341208E0,3.032693481E-1,5.788163452E0,7.491172028E0
1.711495208E0,8.966354370E-2,5.971083069E0,7.522606659E0
1.731648208E0,-1.796264648E-3,6.051914978E0,7.445516968E0
1.751802208E0,-1.076261902E-1,5.933361511E0,7.393425293E0
1.771956208E0,-3.444337463E-1,5.968238983E0,7.440128174E0
1.792109208E0,-6.119274902E-1,5.883964233E0,7.509733429E0
1.812263208E0,-4.834945679E-1,5.755830688E0,7.732919312E0
1.832416208E0,-2.649490356E-2,5.635780334E0,7.893834686E0
1.852570208E0,1.477427673E-1,5.716911621E0,8.162376251E0
1.872724208E0,-7.634124756E-3,5.862409058E0,8.229586487E0
1.892877208E0,-7.035369873E-3,5.965993652E0,8.346643066E0
1.913031208E0,1.543290710E-1,6.060596924E0,8.513246613E0
1.933185208E0,2.290237427E-1,6.208938446E0,8.384664001E0
1.953338208E0,1.266366577E-1,6.288572845E0,8.159681854E0
1.973492208E0,-1.269360352E-1,6.257736969E0,7.962841187E0
1.993644750E0,-3.254232788E-1,6.137686615E0,7.875572662E0
2.013798750E0,-4.444258118E-1,5.988297272E0,7.828271027E0
2.033952750E0,-5.385800171E-1,5.863456879E0,7.892337799E0
2.054105750E0,-5.617817688E-1,5.778583374E0,8.078400879E0
2.074259750E0,-4.345463562E-1,5.854176178E0,8.289611664E0
2.094413750E0,-2.154020691E-1,6.016738129E0,8.214318237E0
2.114566750E0,-1.140628052E-1,6.076314240E0,7.978109436E0
2.134720750E0,-1.401086426E-1,6.118376770E0,7.736362152E0
2.154873750E0,-1.998344421E-1,6.087989960E0,7.614515533E0
2.175027750E0,-3.038681030E-1,6.028713226E0,7.620503082E0
2.195181750E0,-2.630030823E-1,6.023324432E0,7.617359619E0
2.215334750E0,-1.445993042E-1,6.020929413E0,7.626640320E0
2.235488750E0,-1.272354126E-2,5.988596649E0,7.681276703E0
2.255642750E0,-4.355941772E-2,5.994584198E0,7.661966858E0
2.275795750E0,-1.927990723E-1,5.863157501E0,7.614665222E0
2.295949750E0,-2.297721863E-1,5.819448395E0,7.582631836E0
2.316102750E0,-1.142124939E-1,5.852679291E0,7.569309540E0
2.336256750E0,-9.250762939E-2,5.971382446E0,7.615263977E0
2.356410750E0,-9.086105347E-2,5.982758789E0,7.709567871E0
2.376563750E0,-5.433700562E-2,5.918242950E0,7.793094177E0
2.396717750E0,-2.320175171E-2,5.819298706E0,7.890840912E0
2.416871750E0,-1.151106262E-1,5.773044891E0,7.922125854E0
2.437024750E0,-8.113128662E-2,5.755231934E0,7.936046906E0
2.457178750E0,-1.139131165E-1,5.734574890E0,8.065377960E0
2.477331750E0,-3.282673645E-1,5.682034149E0,8.174800415E0
2.497485750E0,-3.679348755E-1,5.656736755E0,8.141120453E0
2.517639750E0,-3.646417236E-1,5.731281738E0,8.033643951E0
2.537792750E0,-3.746708679E-1,5.807173920E0,8.116870880E0
2.557946750E0,-3.329077148E-1,5.725593567E0,8.139922943E0
2.578100750E0,-3.698808289E-1,5.685327301E0,8.123457184E0
2.598253750E0,-4.327500916E-1,5.711822205E0,8.128995667E0
2.618407750E0,-3.249742126E-1,5.675298157E0,8.204438782E0
2.638561750E0,-1.875599670E-1,5.645659790E0,8.264164581E0
2.658714750E0,-2.182461548E-1,5.697901154E0,8.222401428E0
2.678868750E0,-2.378553772E-1,5.701194305E0,8.118816833E0
2.699021750E0,-2.312690735E-1,5.619464264E0,7.918233948E0
2.719175750E0,-3.562591553E-1,5.589676208E0,7.675139465E0
2.739329750E0,-4.782554626E-1,5.638474731E0,7.508236542E0
2.759482750E0,-3.963757324E-1,5.720953217E0,7.544461212E0
2.779636750E0,-2.890489197E-1,5.760471039E0,7.658074951E0
2.799790750E0,-2.408491516E-1,5.732030182E0,7.740403748E0
2.819943750E0,-2.152523804E-1,5.820196838E0,7.913294220E0
2.840097750E0,-1.498384094E-1,5.848937073E0,7.931256866E0
2.860250750E0,-1.333726501E-1,5.862109680E0,8.000413055E0
2.880404750E0,-1.823208618E-1,5.837111664E0,7.957003326E0
2.900558750E0,-2.770738220E-1,5.781726837E0,7.916437683E0
2.920711750E0,-2.838098145E-1,5.740263062E0,7.982300720E0
2.940865750E0,-2.115101624E-1,5.691165161E0,8.114176483E0
2.961019750E0,-9.565109253E-2,5.692811737E0,8.140521698E0
2.981173083E0,-9.624984741E-2,5.706433411E0,8.094716949E0
3.001327083E0,-4.041595459E-2,5.733377380E0,8.011040955E0
3.021480083E0,-8.038284302E-2,5.723647614E0,7.961943054E0
3.041634083E0,-9.175918579E-2,5.700445862E0,7.868387604E0
3.061788083E0,-1.219963074E-1,5.660179596E0,7.797135773E0
3.081941083E0,-1.326242065E-1,5.632038116E0,7.834707642E0
3.102095083E0,-1.613644409E-1,5.678740997E0,7.891439667E0
3.122248083E0,-1.645079041E-1,5.698948975E0,7.929460602E0
3.142402083E0,-8.816665649E-2,5.624553680E0,7.971074066E0
3.162556083E0,-2.679428101E-2,5.700146484E0,8.024662628E0
3.182709083E0,-3.667373657E-2,5.779631195E0,7.986042938E0
3.202863083E0,-7.948471069E-2,5.793701935E0,7.961793365E0
3.223017083E0,-8.966354370E-2,5.736371155E0,8.037685547E0
3.243170083E0,-1.202000427E-1,5.677842865E0,8.065377960E0
3.263324083E0,-7.005432129E-2,5.720653839E0,8.106841736E0
3.283477083E0,-4.655319214E-2,5.762416992E0,8.105943604E0
3.303631083E0,1.661544800E-2,5.764362946E0,8.078999634E0
3.323785083E0,-2.035766602E-2,5.724246368E0,8.045918427E0
3.343938083E0,-1.451980591E-2,5.781726837E0,8.139174500E0
3.364092083E0,-1.646575928E-3,5.796695709E0,8.179740143E0
3.384246083E0,8.382568359E-3,5.765710144E0,8.111781464E0
3.404399083E0,-1.086740112E-1,5.693410492E0,7.980354767E0
3.424553083E0,-1.971400452E-1,5.662275238E0,7.895181885E0
3.444706083E0,-2.365081787E-1,5.667065277E0,7.848928070E0
3.464860083E0,-2.085163879E-1,5.662873993E0,7.779472504E0
3.485014083E0,-2.398013306E-1,5.626499634E0,7.778125305E0
3.505167083E0,-2.320175171E-1,5.565127258E0,7.778574371E0
3.525321083E0,-1.541793823E-1,5.538632355E0,7.825426941E0
3.545475083E0,-7.274871826E-2,5.596112823E0,7.910749512E0
3.565628083E0,-6.376739502E-2,5.581443329E0,7.994874573E0
3.585782083E0,-1.261875916E-1,5.549559631E0,8.075706482E0
