"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.015958376E-3,-2.496358795E0,5.128335571E0,6.969806213E0
2.116895840E-2,-2.068398743E0,5.445076904E0,7.730673981E0
4.132295842E-2,-1.579216003E0,5.562432861E0,8.540789337E0
6.147595844E-2,-1.354233856E0,5.585335236E0,8.997639313E0
8.162895846E-2,-1.334474945E0,5.575006714E0,8.610244904E0
1.017829585E-1,-1.625469818E0,5.480553131E0,7.803273010E0
1.219359583E-1,-2.029030609E0,5.487289124E0,7.335196381E0
1.420889583E-1,-2.090253296E0,5.377866669E0,7.417674866E0
1.622429583E-1,-2.075134735E0,5.228776703E0,7.717950439E0
1.823959583E-1,-2.142045593E0,5.202132111E0,7.897726593E0
2.025489584E-1,-2.111359406E0,5.214556274E0,8.010292511E0
2.227029584E-1,-2.079775085E0,5.298531647E0,7.983647919E0
2.428559584E-1,-2.148482208E0,5.302273865E0,7.912396088E0
2.630089584E-1,-2.279908905E0,5.252128143E0,7.778873749E0
2.831629585E-1,-2.341131592E0,5.214107208E0,7.858059082E0
3.033159585E-1,-2.253863068E0,5.225782928E0,7.993976440E0
3.234689585E-1,-2.123334503E0,5.266647949E0,8.121960297E0
3.436229583E-1,-1.965861969E0,5.263953552E0,8.228388977E0
3.637759583E-1,-1.926044769E0,5.279820557E0,8.362061005E0
3.839289583E-1,-1.860930176E0,5.248685303E0,8.354127502E0
4.040829584E-1,-1.952539673E0,5.207071838E0,8.282725983E0
4.242359584E-1,-1.979333954E0,5.239404602E0,8.291856995E0
4.443889584E-1,-1.734742584E0,5.217699738E0,8.454568634E0
4.645429584E-1,-1.558259583E0,5.343587952E0,8.432265015E0
4.846959584E-1,-1.554966431E0,5.357658691E0,8.181386719E0
5.048489585E-1,-1.582359467E0,5.388344879E0,7.925868073E0
5.250029585E-1,-1.621278534E0,5.244643707E0,8.004604340E0
5.451559583E-1,-1.775308228E0,5.130730591E0,7.979606323E0
5.653089583E-1,-1.926344147E0,5.199288025E0,7.835456085E0
5.854629583E-1,-1.995650024E0,5.146447906E0,7.786507874E0
6.056159583E-1,-2.060165863E0,5.143304443E0,8.055199127E0
6.257689584E-1,-2.051633606E0,5.069058838E0,8.362360382E0
6.459229584E-1,-2.012564850E0,5.031337280E0,8.509654083E0
6.660759584E-1,-1.894909515E0,5.132526855E0,8.657247162E0
6.862289584E-1,-1.667232971E0,5.219196625E0,8.544082489E0
7.063819584E-1,-1.594184875E0,5.254972229E0,8.447982330E0
7.265359585E-1,-1.597328339E0,5.190157013E0,8.422984314E0
7.466889585E-1,-1.511856079E0,5.225483551E0,8.477920074E0
7.668418335E-1,-1.308878174E0,5.202281799E0,8.500523071E0
7.869958333E-1,-1.198856964E0,5.170996857E0,8.459957428E0
8.071488333E-1,-1.273252258E0,5.147944794E0,8.298443298E0
8.273018333E-1,-1.149309998E0,5.236859894E0,7.998167725E0
8.474558333E-1,-8.476872253E-1,5.489235077E0,7.773035889E0
8.676088334E-1,-7.069798279E-1,5.605094147E0,7.942333832E0
8.877618334E-1,-9.723779297E-1,5.432952118E0,8.079448700E0
9.079158334E-1,-1.522483978E0,5.292544098E0,7.722740479E0
9.280688334E-1,-1.721719666E0,5.030439148E0,7.431895294E0
9.482218334E-1,-1.547332306E0,5.127736816E0,7.960595856E0
9.683758335E-1,-1.076860657E0,5.120402069E0,8.564290466E0
9.885288335E-1,-9.307644653E-1,4.951104126E0,8.824000397E0
1.008681833E0,-1.033899994E0,5.024301910E0,8.754544830E0
1.028835833E0,-9.952803040E-1,5.166057129E0,8.228838043E0
1.048988833E0,-8.734336853E-1,5.279970245E0,7.867489471E0
1.069141833E0,-8.349636841E-1,5.461991730E0,7.776628418E0
1.089295833E0,-7.303312683E-1,5.538033600E0,7.771539001E0
1.109448833E0,-7.934999084E-1,5.610782318E0,7.946824493E0
1.129601833E0,-8.713380432E-1,5.510790253E0,7.866142273E0
1.149755833E0,-9.274713135E-1,5.369783478E0,7.526947632E0
1.169908833E0,-1.009201355E0,5.319488068E0,7.585475922E0
1.190061833E0,-1.012045441E0,5.317691803E0,7.880961456E0
1.210215833E0,-8.834628296E-1,5.476960602E0,8.092172241E0
1.230368833E0,-6.572831726E-1,5.615422668E0,8.040529633E0
1.250521833E0,-6.036946106E-1,5.629194031E0,7.855963440E0
1.270675833E0,-6.231541443E-1,5.775888977E0,7.703280945E0
1.290828833E0,-6.054908752E-1,5.811664581E0,7.560328217E0
1.310981833E0,-7.099736023E-1,5.785169678E0,7.724237366E0
1.331135833E0,-8.875044250E-1,5.815706177E0,8.029452667E0
1.351288833E0,-7.635621643E-1,5.822741547E0,8.084238739E0
1.371441833E0,-6.045927429E-1,5.886808319E0,8.020920410E0
1.391595833E0,-7.300318909E-1,5.955665131E0,7.810757446E0
1.411748833E0,-8.738827515E-1,5.902825012E0,7.807763672E0
1.431901833E0,-8.590635681E-1,5.801635437E0,7.899522858E0
1.452055833E0,-9.003776550E-1,5.754184113E0,7.946525116E0
1.472208833E0,-7.949967957E-1,5.745951233E0,7.853718109E0
1.492361833E0,-6.685098267E-1,5.698050842E0,7.874824219E0
1.512515833E0,-7.216493225E-1,5.637726288E0,7.968229980E0
1.532668833E0,-6.466552734E-1,5.738766174E0,8.190817108E0
1.552821833E0,-3.388952637E-1,5.746400299E0,8.202941895E0
1.572974833E0,-3.059637451E-1,5.695805511E0,8.167166290E0
1.593128833E0,-3.854484558E-1,5.780229950E0,8.174650726E0
1.613281833E0,-3.815565491E-1,5.672903137E0,8.004005585E0
1.633434833E0,-5.459147644E-1,5.679788818E0,7.890391846E0
1.653588833E0,-7.384144592E-1,5.591023407E0,7.858358459E0
1.673741833E0,-8.593629456E-1,5.435197449E0,7.938292236E0
1.693894833E0,-8.860075378E-1,5.319937134E0,7.877219238E0
1.714048833E0,-7.816744995E-1,5.306315460E0,7.908354492E0
1.734201833E0,-6.403683472E-1,5.674100647E0,8.179740143E0
1.754354833E0,-5.801934814E-1,5.769302673E0,8.174051971E0
1.774508833E0,-9.008267212E-1,5.692512360E0,8.092471619E0
1.794661833E0,-1.134490814E0,5.622308350E0,8.283324738E0
1.814814833E0,-1.212927704E0,5.444478149E0,8.317603455E0
1.834968833E0,-1.362466736E0,5.366190948E0,8.422086182E0
1.855121833E0,-1.268162842E0,5.333558807E0,8.474626923E0
1.875274833E0,-1.086889801E0,5.508993988E0,8.536448364E0
1.895428833E0,-7.816744995E-1,5.732778625E0,8.523425446E0
1.915581833E0,-4.767585754E-1,5.846991119E0,8.391849060E0
