"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.583750851E-4,-2.029030609E0,5.864804077E0,7.526648254E0
1.969462493E-2,-1.321002960E0,5.718408508E0,8.814719696E0
3.984862496E-2,-1.012793884E0,5.558391266E0,9.380692749E0
6.000162498E-2,-1.483564911E0,5.446723480E0,8.606352997E0
8.015462500E-2,-2.089504852E0,5.426216125E0,7.589218140E0
1.003076250E-1,-2.344574432E0,5.618715820E0,7.229815521E0
1.204606250E-1,-2.075883179E0,5.603148193E0,7.653584290E0
1.406146251E-1,-1.733844452E0,5.493875427E0,8.444988556E0
1.607676251E-1,-1.531614990E0,5.404660950E0,8.462502136E0
1.809206251E-1,-1.608554993E0,5.514682159E0,8.015830994E0
2.010736251E-1,-1.783241730E0,5.628445587E0,7.661966858E0
2.212266249E-1,-1.832938385E0,5.639522552E0,7.490423584E0
2.413806249E-1,-1.753753052E0,5.512137451E0,7.676187286E0
2.615336250E-1,-1.557361450E0,5.359454956E0,8.216264191E0
2.816866250E-1,-1.361119537E0,5.281167755E0,8.797804871E0
3.018396250E-1,-1.205143890E0,5.252726898E0,8.841214600E0
3.219936250E-1,-1.350192261E0,5.314847717E0,8.503965912E0
3.421466250E-1,-1.556613007E0,5.440586243E0,8.061486053E0
3.622996251E-1,-1.616338806E0,5.410349121E0,7.851472778E0
3.824521250E-1,-1.370549927E0,5.457501068E0,8.073012085E0
4.026051250E-1,-1.222807159E0,5.434449005E0,8.396788788E0
4.227591250E-1,-1.130598907E0,5.366640015E0,8.453371124E0
4.429121250E-1,-1.125659180E0,5.441933441E0,8.261320496E0
4.630651250E-1,-1.083446960E0,5.551206207E0,8.166717224E0
4.832181251E-1,-1.136287079E0,5.506449280E0,8.083490295E0
5.033721251E-1,-1.294807434E0,5.459596710E0,8.056246948E0
5.235251251E-1,-1.291514282E0,5.390290833E0,8.305778046E0
5.436781251E-1,-1.169967041E0,5.409750366E0,8.326435089E0
5.638311249E-1,-1.104403381E0,5.485043793E0,8.094716949E0
5.839841249E-1,-1.094374237E0,5.549110565E0,7.737409973E0
6.041381250E-1,-1.157842255E0,5.710025940E0,7.556286621E0
6.242911250E-1,-1.055305481E0,5.745951233E0,7.608378296E0
6.444441250E-1,-1.118174744E0,5.682034149E0,7.933202820E0
6.645971250E-1,-1.238973541E0,5.626499634E0,8.349786530E0
6.847501250E-1,-1.170715485E0,5.624254303E0,8.540040894E0
7.049041251E-1,-1.039438477E0,5.635181580E0,8.632398834E0
7.250571251E-1,-8.919950867E-1,5.643713837E0,8.550519104E0
7.452101251E-1,-8.412506104E-1,5.685027924E0,8.318351898E0
7.653631251E-1,-7.991880798E-1,5.802383881E0,8.190966797E0
7.855171249E-1,-6.930587769E-1,5.767955475E0,8.282725983E0
8.056701249E-1,-7.182064819E-1,5.529052277E0,8.142317963E0
8.258231250E-1,-9.633966064E-1,5.435945892E0,7.635621643E0
8.459761250E-1,-8.818162537E-1,5.620512085E0,7.452252960E0
8.661291250E-1,-7.214996338E-1,5.719456329E0,7.894433441E0
8.862831250E-1,-8.298742676E-1,5.622458038E0,8.123756561E0
9.064361250E-1,-1.023870850E0,5.480253754E0,7.931256866E0
9.265891251E-1,-9.243278503E-1,5.504503326E0,7.569309540E0
9.467421251E-1,-6.352789307E-1,5.724845123E0,7.886799316E0
9.668951251E-1,-6.608757019E-1,5.688021698E0,8.156388702E0
9.870491249E-1,-9.756710815E-1,5.545368347E0,7.988288269E0
1.007202125E0,-1.360371094E0,5.381608887E0,7.557484131E0
1.027355125E0,-1.399888916E0,5.284760284E0,7.705975342E0
1.047508125E0,-1.103355560E0,5.265600128E0,7.740852814E0
1.067661125E0,-1.008003845E0,5.426365814E0,7.626939697E0
1.087815125E0,-9.741741943E-1,5.705684967E0,7.454498291E0
1.107968125E0,-8.663983154E-1,5.822741547E0,7.372468872E0
1.128121125E0,-9.943821716E-1,5.686524811E0,7.446115723E0
1.148274125E0,-9.404942322E-1,5.664670258E0,7.568561096E0
1.168428125E0,-7.770341492E-1,5.746100922E0,7.438631287E0
1.188581125E0,-5.752537537E-1,6.073170776E0,7.098837891E0
1.208734125E0,-5.176235962E-1,6.327192535E0,7.066355438E0
1.228887125E0,-5.405259705E-1,6.317313080E0,7.389084320E0
1.249040125E0,-5.911207581E-1,6.065386963E0,7.546556854E0
1.269194125E0,-9.184899902E-1,5.976322174E0,7.454198914E0
1.289347125E0,-8.804690552E-1,6.053711243E0,7.548353119E0
1.309500125E0,-4.890330505E-1,6.130651245E0,7.714657288E0
1.329653125E0,-2.686912537E-1,6.312373352E0,8.004304962E0
1.349806125E0,-3.406915283E-1,6.217770081E0,7.954458618E0
1.369960125E0,-5.656736755E-1,5.927972717E0,7.827073517E0
1.390113125E0,-7.644602966E-1,5.842350769E0,7.907905426E0
1.410266125E0,-7.607180786E-1,5.844596100E0,7.959248657E0
1.430419125E0,-6.551875305E-1,5.963898010E0,7.945028229E0
1.450572125E0,-4.701722717E-1,6.087690582E0,7.693102112E0
1.470726125E0,-4.864883423E-1,6.268364868E0,7.499704285E0
1.490879125E0,-6.072871399E-1,6.304439850E0,7.536527710E0
1.511032125E0,-6.843768311E-1,6.116131439E0,7.530989227E0
1.531185125E0,-5.403762817E-1,6.002517700E0,7.515870667E0
1.551338125E0,-5.393284607E-1,6.035748596E0,7.758815460E0
1.571492125E0,-6.289920044E-1,5.990093536E0,7.833809509E0
1.591645125E0,-6.339317322E-1,5.994284821E0,7.635621643E0
1.611798125E0,-5.751040649E-1,6.002817078E0,7.421117706E0
1.631951125E0,-5.882766724E-1,6.037694550E0,7.517816620E0
1.652104125E0,-5.760021973E-1,5.978717194E0,7.586374054E0
1.672258125E0,-6.873706055E-1,5.869594116E0,7.535330200E0
1.692411125E0,-7.042854309E-1,5.855074310E0,7.695048065E0
1.712564125E0,-7.065307617E-1,5.983806610E0,7.655679932E0
1.732717125E0,-6.688092041E-1,6.253845062E0,7.539820862E0
1.752871125E0,-6.158193970E-1,6.275250549E0,7.440726929E0
1.773024125E0,-6.483018494E-1,6.158343658E0,7.508984985E0
1.793177125E0,-7.662565613E-1,6.007457428E0,7.805967407E0
1.813330125E0,-7.132667542E-1,5.916746063E0,8.049361267E0
1.833483125E0,-5.026547241E-1,6.000871124E0,8.056097260E0
1.853637125E0,-3.793112183E-1,6.028563538E0,7.910001068E0
1.873790125E0,-4.769082642E-1,5.967191162E0,7.711513824E0
1.893943125E0,-3.766168213E-1,6.081553345E0,7.660320282E0
1.914096125E0,-1.827699280E-1,6.282884674E0,7.720195770E0
1.934249125E0,-2.197430420E-1,6.337521057E0,7.817942505E0
1.954403125E0,-4.679269409E-1,6.096372528E0,7.825127563E0
1.974556125E0,-4.830455017E-1,6.015690308E0,7.705226898E0
1.994709125E0,-2.847079468E-1,6.152206421E0,7.672744446E0
2.014862125E0,-1.914518738E-1,6.268215179E0,7.546407166E0
2.035015125E0,-2.421963501E-1,6.275400238E0,7.542964325E0
2.055169125E0,-3.100053406E-1,6.178851013E0,7.594906311E0
2.075322125E0,-3.338058472E-1,6.099216614E0,7.490124207E0
2.095475125E0,-2.273771667E-1,6.251899109E0,7.440577240E0
2.115628125E0,-2.155517578E-1,6.295608215E0,7.514074402E0
2.135781125E0,-3.390449524E-1,6.235882416E0,7.648195496E0
2.155935125E0,-2.507286072E-1,6.208040314E0,7.749983826E0
2.176088125E0,-8.876541138E-2,6.287974091E0,7.849227448E0
2.196241125E0,-1.456471252E-1,6.238876190E0,7.678731995E0
2.216394125E0,-3.092568970E-1,6.104306030E0,7.610623627E0
2.236547125E0,-4.352947998E-1,6.116430817E0,7.638914795E0
2.256701125E0,-4.974156189E-1,6.124663696E0,7.544461212E0
2.276854125E0,-4.126918030E-1,6.087091827E0,7.472610626E0
2.297007125E0,-4.104464722E-1,6.150410156E0,7.645950165E0
2.317160125E0,-5.758525085E-1,6.065985718E0,7.729775848E0
2.337313125E0,-6.474037170E-1,5.901777191E0,7.739355927E0
2.357467125E0,-6.256988525E-1,5.876928864E0,7.832312622E0
2.377620125E0,-5.243595886E-1,5.943690033E0,7.901019745E0
2.397772875E0,-3.493734741E-1,6.015241241E0,7.877219238E0
2.417925875E0,-5.447172546E-1,5.917195129E0,7.695646820E0
2.438078875E0,-7.737409973E-1,5.780379639E0,7.674690399E0
2.458232875E0,-5.837860107E-1,5.865103455E0,7.835306396E0
2.478385875E0,-3.686833191E-1,6.073170776E0,7.926766205E0
2.498538875E0,-3.664379883E-1,6.102958832E0,7.834408264E0
2.518691875E0,-3.912863159E-1,6.060896301E0,7.809559937E0
2.538844875E0,-3.167413330E-1,6.009852448E0,7.773784332E0
2.558998875E0,-3.673361206E-1,6.019881592E0,7.735913086E0
2.579151875E0,-3.888912964E-1,6.046376495E0,7.937693481E0
2.599304875E0,-2.612068176E-1,5.942342834E0,8.064180450E0
2.619457875E0,-2.097138977E-1,5.849386139E0,7.919880524E0
2.639610875E0,-1.478924561E-1,5.838608551E0,7.925419006E0
2.659764875E0,-1.591191101E-1,5.904172211E0,7.925269318E0
2.679917875E0,-1.589694214E-1,6.004912720E0,7.968229980E0
2.700070875E0,-2.067201233E-1,5.999823303E0,7.798183594E0
2.720223875E0,-2.523751831E-1,5.949228516E0,7.788154449E0
2.740376875E0,-2.630030823E-1,5.978118439E0,7.982151031E0
2.760530875E0,-3.549119568E-1,5.912554779E0,7.827223206E0
2.780683875E0,-4.721182251E-1,5.813311157E0,7.408394165E0
2.800836875E0,-5.110372925E-1,5.764213257E0,7.329208832E0
2.820989875E0,-3.224295044E-1,5.836662598E0,7.699389038E0
2.841143875E0,-1.594184875E-1,5.981710968E0,7.835456085E0
2.861296875E0,-9.011260986E-2,6.027066650E0,7.695048065E0
2.881449875E0,-1.261875916E-1,6.029910736E0,7.767796783E0
2.901602875E0,-1.749861145E-1,5.934708710E0,7.798033905E0
2.921755875E0,-1.841171265E-1,5.899681549E0,7.840695190E0
2.941909875E0,-1.413061523E-1,5.968837738E0,7.963589630E0
2.962062875E0,-5.987548828E-3,6.110293579E0,7.929310913E0
2.982215875E0,-2.454895020E-2,6.130202179E0,7.804919586E0
3.002368875E0,-1.742376709E-1,6.037844238E0,7.753276978E0
3.022521875E0,-3.020718384E-1,5.956712952E0,7.890691223E0
3.042675875E0,-3.683839417E-1,5.888155518E0,8.058791656E0
3.062828875E0,-1.977388000E-1,5.819747772E0,7.947572937E0
3.082981875E0,-3.345542908E-1,5.869294739E0,7.881859589E0
3.103134875E0,-3.050656128E-1,5.878575439E0,7.785160675E0
3.123287875E0,-3.847000122E-1,5.827381897E0,7.737110596E0
3.143441875E0,-4.198768616E-1,5.790109406E0,7.839797058E0
3.163594875E0,-2.674937439E-1,5.865702209E0,7.979905701E0
3.183747875E0,-8.113128662E-2,5.948929138E0,8.026758270E0
3.203900875E0,-9.624984741E-2,5.954317932E0,7.955506439E0
3.224053875E0,-1.815724182E-1,5.890400848E0,7.971972198E0
3.244207875E0,-1.683998108E-1,5.898184662E0,8.078251190E0
3.264360875E0,-7.753875732E-2,5.967789917E0,7.996521149E0
3.284513875E0,-1.486408997E-1,6.025719452E0,7.957751770E0
3.304666875E0,-1.591191101E-1,5.932313690E0,7.936795349E0
3.324819875E0,-1.152603149E-1,5.860313416E0,7.951015778E0
3.344973875E0,-1.285826111E-1,5.893544312E0,7.922574921E0
3.365126875E0,-1.222956848E-1,5.928571472E0,7.961344299E0
3.385280375E0,-1.341210938E-1,5.888305206E0,7.901169434E0
3.405433375E0,-1.678010559E-1,5.858666840E0,7.709717560E0
3.425586375E0,-2.020797729E-1,5.875282288E0,7.678133240E0
3.445740375E0,-2.168989563E-1,5.870492249E0,7.687863007E0
3.465893375E0,-1.498384094E-1,5.917644196E0,7.697443085E0
3.486046375E0,-8.143066406E-2,5.983058167E0,7.697443085E0
3.506199375E0,-2.243833923E-1,5.860014038E0,7.626790009E0
3.526352375E0,-4.460723877E-1,5.682034149E0,7.695197754E0
3.546506375E0,-3.923341370E-1,5.706732788E0,7.869435425E0
3.566659375E0,-1.857637024E-1,5.896388397E0,7.843688965E0
3.586812375E0,-1.061293030E-1,5.982160034E0,7.740403748E0
3.606965375E0,-1.658551025E-1,5.958958282E0,7.783065033E0
3.627118375E0,-2.647993469E-1,5.849835205E0,7.781418457E0
3.647272375E0,-2.718347168E-1,5.814658356E0,7.700137482E0
3.667425375E0,-2.532733154E-1,5.897286530E0,7.730673981E0
3.687578375E0,-1.730401611E-1,6.026767273E0,7.984995117E0
3.707731375E0,-1.815724182E-1,5.974076843E0,8.046666870E0
3.727884375E0,-1.859133911E-1,5.906716919E0,7.985294495E0
3.748038375E0,-1.038839722E-1,5.913003845E0,7.889942780E0
3.768191375E0,2.694396973E-3,6.004613342E0,7.893086243E0
3.788344375E0,-5.912704468E-2,5.975873108E0,7.909851379E0
3.808497375E0,-1.564247131E-1,5.914351044E0,7.873926086E0
3.828651375E0,-1.595681763E-1,5.884862366E0,7.926466827E0
3.848804375E0,-1.368154907E-1,5.902076569E0,7.867040405E0
3.868957375E0,-2.874023438E-1,5.770649872E0,7.511829071E0
3.889110375E0,-4.355941772E-1,5.768105164E0,7.453001404E0
3.909263375E0,-1.972897339E-1,5.954766998E0,7.773634644E0
3.929417375E0,-1.237925720E-1,6.082750854E0,7.845485229E0
3.949570375E0,-3.439846802E-1,5.921685791E0,7.737859039E0
3.969723375E0,-3.579057312E-1,5.785019989E0,7.863747253E0
3.989876375E0,-1.576222229E-1,5.888604584E0,7.959997101E0
4.010029375E0,-7.664062500E-2,6.048921204E0,7.904013519E0
4.030183375E0,-9.355545044E-2,6.015690308E0,7.770790558E0
4.050336375E0,-1.568737793E-1,5.933211823E0,7.875872040E0
4.070489375E0,-3.622467041E-2,5.991590424E0,8.038583679E0
4.090642375E0,-1.811233521E-2,6.020330658E0,7.881859589E0
4.110795375E0,-6.271957397E-2,6.003864899E0,7.834258575E0
4.130949375E0,-1.064286804E-1,5.966442719E0,7.764952698E0
4.151102375E0,-1.948947144E-1,5.908962250E0,7.811356201E0
4.171255375E0,-1.428030396E-1,5.922134857E0,7.921527100E0
4.191408375E0,-1.275347900E-1,5.886508942E0,7.731123047E0
4.211561375E0,-1.562750244E-1,5.928272095E0,7.639064484E0
4.231715375E0,-1.544787598E-1,5.990991669E0,7.679929504E0
4.251868375E0,-1.230441284E-1,5.949378204E0,7.729775848E0
4.272021375E0,-2.010319519E-1,5.842500458E0,7.740852814E0
4.292174375E0,-3.041674805E-1,5.837261353E0,7.851023712E0
4.312327375E0,-1.466949463E-1,5.874982910E0,7.875422974E0
4.332481375E0,1.781295776E-2,5.986051941E0,7.798333282E0
4.352634375E0,-5.044509888E-2,6.042783966E0,7.710316315E0
4.372787375E0,1.272354126E-2,6.027964783E0,7.689509583E0
4.392940000E0,2.799179077E-2,6.053262177E0,7.700436859E0
4.413094000E0,-6.810836792E-2,6.043831787E0,7.787256317E0
4.433247000E0,-1.026864624E-1,5.969436493E0,7.855364685E0
4.453400000E0,-3.263214111E-2,5.968688049E0,7.783065033E0
4.473553000E0,-2.709365845E-2,6.020929413E0,7.722590790E0
4.493706000E0,-1.532812500E-1,5.980363770E0,7.623197479E0
4.513860000E0,-1.065783691E-1,5.978866882E0,7.701933746E0
4.534013000E0,-3.921844482E-2,5.989794159E0,7.719447327E0
4.554166000E0,-2.020797729E-2,5.995482330E0,7.716902618E0
4.574319000E0,-6.466552734E-2,5.969286804E0,7.820786591E0
4.594472000E0,-1.031355286E-1,5.952072601E0,7.869435425E0
4.614626000E0,-1.766326904E-1,5.901777191E0,7.871680756E0
4.634779000E0,-1.573228455E-1,5.918242950E0,7.762258301E0
