"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.865750110E-3,-3.120261383E0,4.730462952E0,6.553821259E0
2.301875013E-2,-3.335962830E0,4.396657104E0,7.344327393E0
4.317074991E-2,-2.709964600E0,4.453239441E0,9.032217407E0
6.332274992E-2,-1.785936127E0,4.743934937E0,9.926906891E0
8.347474993E-2,-1.381776581E0,4.796924744E0,9.896819458E0
1.036277500E-1,-1.899250488E0,4.826862488E0,9.240434418E0
1.237797500E-1,-2.343975677E0,4.734953613E0,8.192164307E0
1.439317500E-1,-2.575095062E0,4.716990967E0,7.762857056E0
1.640847500E-1,-2.378404083E0,4.649032288E0,8.119565277E0
1.842367500E-1,-2.205962677E0,4.711153107E0,8.520880737E0
2.043887500E-1,-2.071841583E0,4.709057465E0,8.649912415E0
2.245407500E-1,-2.296075287E0,4.616549835E0,8.636739807E0
2.446937500E-1,-2.517015839E0,4.472848663E0,8.449179840E0
2.648457501E-1,-2.567460938E0,4.444407806E0,8.423583069E0
2.849977501E-1,-2.487227783E0,4.549040222E0,8.400381317E0
3.051507501E-1,-2.191293182E0,4.694537659E0,8.267008667E0
3.253027501E-1,-1.979034576E0,4.913831635E0,8.342751160E0
3.454547501E-1,-1.809736633E0,4.874014435E0,8.524473267E0
3.656077501E-1,-1.862127686E0,4.730013885E0,8.395740967E0
3.857597499E-1,-1.925296326E0,4.670737152E0,8.241112518E0
4.059117499E-1,-1.801354065E0,4.667144623E0,8.293653259E0
4.260637499E-1,-1.636097717E0,4.729864197E0,8.380622406E0
4.462167500E-1,-1.471440125E0,4.752766571E0,8.463100891E0
4.663687500E-1,-1.339564362E0,4.565955048E0,8.513096924E0
4.865207500E-1,-1.510658569E0,4.545597382E0,8.415649567E0
5.066737500E-1,-1.446292419E0,4.666246490E0,8.324189758E0
5.268257500E-1,-1.325493622E0,4.751718750E0,8.472231903E0
5.469777500E-1,-1.221310272E0,4.868625641E0,8.634045410E0
5.671297500E-1,-1.217568054E0,4.837789764E0,8.681347046E0
5.872827501E-1,-1.189875641E0,4.894372101E0,8.793164520E0
6.074347501E-1,-1.251248016E0,4.955445099E0,8.784183197E0
6.275867501E-1,-1.424288177E0,4.808899841E0,8.608298950E0
6.477396251E-1,-1.527124329E0,4.702321472E0,8.770411835E0
6.678916251E-1,-1.365011444E0,4.657265167E0,8.966504059E0
6.880436251E-1,-1.145717468E0,4.740492096E0,8.923543396E0
7.081956251E-1,-1.049467621E0,4.819228363E0,8.746311951E0
7.283486251E-1,-9.849517822E-1,4.803960114E0,8.728498993E0
7.485006249E-1,-9.135502625E-1,4.777614899E0,8.734486542E0
7.686526249E-1,-9.433383179E-1,4.836592255E0,8.922645264E0
7.888056249E-1,-7.453001404E-1,4.712500305E0,8.646020508E0
8.089576249E-1,-7.006929016E-1,4.715793457E0,8.337512054E0
8.291096250E-1,-6.855743408E-1,4.905149689E0,8.239316254E0
8.492616250E-1,-5.903723145E-1,4.982987823E0,8.067922668E0
8.694146250E-1,-3.823049927E-1,4.794829102E0,7.795638885E0
8.895666250E-1,-4.499642944E-1,4.602928162E0,7.934400330E0
9.097186250E-1,-7.159611511E-1,4.674479370E0,8.632847900E0
9.298716250E-1,-7.285350037E-1,4.654870148E0,8.894054718E0
9.500236250E-1,-6.436614990E-1,4.478536835E0,8.804840240E0
9.701756251E-1,-7.649093628E-1,4.551584930E0,8.656648407E0
9.903276251E-1,-6.818321228E-1,4.669389954E0,8.802744598E0
1.010480625E0,-4.173321533E-1,4.742288361E0,8.797505493E0
1.030632625E0,-3.802093506E-1,4.858895874E0,8.290060730E0
1.050784625E0,-4.120930481E-1,5.012775879E0,8.296647034E0
1.070937625E0,-2.697390747E-1,5.247637482E0,8.816066895E0
1.091089625E0,3.921844482E-2,5.426814880E0,9.157506866E0
1.111241625E0,1.818717957E-1,5.377716980E0,8.785380707E0
1.131393625E0,-8.262817383E-2,5.349725189E0,8.657845917E0
1.151546625E0,-4.320016479E-1,5.373675385E0,8.971443787E0
1.171698625E0,-4.718188477E-1,5.316045227E0,9.056466980E0
1.191850625E0,-4.360432434E-1,5.053042145E0,8.612939301E0
1.212003625E0,-5.920188904E-1,4.982987823E0,8.434210968E0
1.232155625E0,-6.081852722E-1,5.018314362E0,8.734187164E0
1.252307625E0,-3.653901672E-1,4.991819458E0,8.944350128E0
1.272459625E0,-2.472857666E-1,4.982239380E0,8.405919800E0
1.292612625E0,-2.942880249E-1,5.046306152E0,7.992778931E0
1.312764625E0,-2.303709412E-1,5.045408020E0,7.892337799E0
1.332916625E0,-2.273771667E-1,5.024601288E0,7.672744446E0
1.353069625E0,-1.712438965E-1,5.137167206E0,7.416477356E0
1.373221625E0,-9.205856323E-2,5.266498260E0,7.059619446E0
1.393373625E0,-2.993774414E-4,5.343138885E0,6.841223602E0
1.413525625E0,4.999603271E-2,5.306465149E0,7.147636414E0
1.433678625E0,4.400848389E-2,5.191204834E0,7.861352234E0
1.453830625E0,1.266366577E-1,5.087620239E0,8.425978088E0
1.473982625E0,1.032852173E-1,5.054089966E0,8.564440155E0
1.494135625E0,-8.337661743E-2,5.073549500E0,8.398884430E0
1.514287625E0,-3.945794678E-1,5.043162689E0,8.308023376E0
1.534439625E0,-6.474037170E-1,4.935985565E0,8.170908508E0
1.554591625E0,-8.928932190E-1,4.847818909E0,8.274792480E0
1.574744625E0,-1.020278320E0,4.844974823E0,8.508606262E0
1.594896625E0,-1.127156067E0,4.800966339E0,8.649313660E0
1.615048625E0,-1.274749146E0,4.777764587E0,8.472381592E0
1.635201625E0,-1.376687164E0,4.705764313E0,8.158035278E0
1.655353250E0,-1.271455994E0,4.674329681E0,8.145162048E0
1.675505250E0,-9.500743103E-1,4.872667236E0,8.310568085E0
1.695658250E0,-6.586303711E-1,4.992418213E0,8.338260498E0
1.715810250E0,-3.972738647E-1,5.134772186E0,8.332871704E0
1.735962250E0,-9.879455566E-2,5.193749542E0,8.217910767E0
1.756114250E0,7.005432129E-2,5.263803864E0,8.155041504E0
1.776267250E0,1.579216003E-1,5.233117676E0,8.113877106E0
1.796419250E0,3.348536682E-1,5.014123077E0,8.196355591E0
1.816571250E0,4.787045288E-1,4.906347198E0,8.274642792E0
1.836724250E0,7.774832153E-1,4.991220703E0,8.376880188E0
1.856876250E0,1.153950348E0,5.245990906E0,8.391399994E0
1.877028250E0,1.411864014E0,5.385351105E0,8.345744934E0
1.897180250E0,1.361718292E0,5.169649658E0,8.264014893E0
1.917333250E0,9.400451660E-1,4.593198395E0,8.169561310E0
1.937485250E0,3.124003601E-1,4.284689941E0,8.243058472E0
1.957637250E0,-1.173559570E-1,4.291126556E0,8.470884705E0
1.977790250E0,-1.893562317E-1,4.297563171E0,8.506959686E0
1.997942250E0,-1.284329224E-1,4.537364502E0,8.484506378E0
2.018094250E0,-1.130149841E-1,4.894372101E0,8.615633698E0
2.038247250E0,-1.541793823E-1,4.972060547E0,8.771459656E0
2.058399250E0,-3.005749512E-1,4.713548126E0,8.898096313E0
2.078551250E0,-4.782554626E-1,4.347259827E0,9.016200714E0
2.098703250E0,-5.786965942E-1,4.231251068E0,9.165739746E0
2.118856250E0,-2.787203979E-1,4.482428741E0,8.870852966E0
2.139008250E0,1.541793823E-1,4.767136688E0,8.655001831E0
2.159160250E0,1.438508606E-1,5.051545258E0,8.719218292E0
2.179313250E0,3.920347595E-1,5.000651093E0,8.597221985E0
2.199465250E0,6.806346130E-1,4.926405487E0,8.485105133E0
2.219617250E0,9.840536499E-1,4.864883423E0,8.603658600E0
2.239769250E0,1.189127197E0,4.756209412E0,8.837771759E0
2.259922250E0,1.132245483E0,4.726271667E0,9.104367371E0
2.280074250E0,1.066382446E0,4.742737427E0,9.057664490E0
2.300226250E0,1.031954041E0,4.660857697E0,8.835376740E0
2.320379250E0,9.836045837E-1,4.653223572E0,8.995693359E0
2.340531250E0,8.940907288E-1,4.696483612E0,9.381291504E0
2.360683250E0,6.515950012E-1,4.965474243E0,9.494156799E0
2.380836250E0,4.748126221E-1,5.082081757E0,9.230704651E0
2.400988250E0,5.370831299E-1,4.737348633E0,8.905580750E0
2.421140250E0,6.144721985E-1,4.358486481E0,8.719517670E0
2.441292250E0,4.269122314E-1,4.028273163E0,8.781638489E0
2.461445250E0,1.279838562E-1,4.183799744E0,8.760682068E0
