Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Activity
5.206439257,51.99329322,5.938752154,21.12844467,0.0,,3.667678665,6.0,sitting
5.305069208,51.99262045,5.939846998,26.03512192,0.1599999964,,3.850622659,6.0,sitting
5.361148477,51.99406872,5.937725874,23.50643539,0.0,,3.623336894,4.0,sitting
5.495873213,51.99402731,5.937879346,32.30312729,0.0,,6.234422389,8.0,sitting
5.502279043,51.99325605,5.938794985,22.1104393,0.0,,3.535533906,3.0,sitting
5.70945096,51.99330336,5.938797165,25.3335228,0.0,,4.407068164,6.0,sitting
5.785052299,51.99258269,5.939859571,23.28249741,0.0,,5.251271346,8.0,sitting
5.97507906,51.9929064,5.940152435,26.31930161,0.0,,4.314542509,4.0,sitting
6.08238101,51.99326686,5.938840499,22.63076401,0.0,,3.535533906,6.0,sitting
6.167570591,51.9928227,5.939478697,23.85982895,0.0,,3.627364947,4.0,sitting
6.207784176,51.99328497,5.93875777,21.41848373,0.0,,3.535533906,6.0,sitting
6.30506134,51.99261106,5.939838281,25.0625267,0.1599999964,,3.878902772,4.0,sitting
6.361236572,51.99406918,5.937725035,23.43160629,0.0,,3.665000103,4.0,sitting
6.496041536,51.99403075,5.937879682,32.27212143,0.0,,6.25996161,8.0,sitting
6.502267003,51.9932563,5.938795069,22.08529282,0.0,,3.535533906,3.0,sitting
6.710774064,51.99330022,5.938801607,25.50399399,0.0,,4.040159002,6.0,sitting
6.785040617,51.99258281,5.939858146,23.30617905,0.0,,5.547814326,8.0,sitting
6.975291491,51.99290078,5.94015277,26.27932358,0.0,,4.132306548,3.0,sitting
7.083537459,51.99326523,5.938831698,22.28719711,0.0,,3.535533906,6.0,sitting
7.167579293,51.9928186,5.939475261,24.30013657,0.0,,3.688186997,4.0,sitting
7.207787871,51.99327793,5.93876305,21.5635643,0.0,,3.535533906,4.0,sitting
7.306337118,51.99260352,5.939832497,25.90536118,0.0,,3.925588867,4.0,sitting
7.361252308,51.99406913,5.937725538,23.97359848,0.0,,3.714866155,4.0,sitting
7.496059537,51.99403251,5.937879849,32.24312973,0.0,,6.248555505,8.0,sitting
7.50227344,51.9932563,5.938795069,22.08529289,0.0,,4.609407703,3.546533189,sitting
7.710785151,51.99329771,5.938805128,25.15597153,0.0,,4.104666761,6.0,sitting
7.785657167,51.9925829,5.939857308,23.32107162,0.0,,5.616421049,8.0,sitting
7.975298405,51.99290087,5.940151932,26.22616196,0.0,,4.039650811,3.0,sitting
8.083539486,51.99326372,5.938823903,21.6217308,0.0,,3.535533906,6.0,sitting
8.167564869,51.99281495,5.939471992,25.03091049,0.0,,3.684399865,4.0,sitting
8.207780719,51.99327273,5.938767828,21.90511703,0.0,,3.535533906,4.0,sitting
8.306342602,51.99259694,5.939826882,26.72610092,0.0,,3.714164406,4.0,sitting
8.361237764,51.99406897,5.937726628,23.98592758,0.0,,3.730919229,4.0,sitting
8.496059179,51.99403355,5.937879682,32.2031517,0.0,,5.820824182,8.0,sitting
8.502281904,51.99325664,5.938795153,22.10982902,0.0,,4.609407704,3.546533188,sitting
8.710761189,51.99329569,5.938808061,24.8279686,0.0,,4.125235719,6.0,sitting
8.785673022,51.9925829,5.939856889,23.33077621,0.0,,5.359755724,8.0,sitting
8.975285053,51.99290028,5.940151764,26.29659653,0.0,,3.906711855,3.0,sitting
9.083531141,51.99326284,5.938816695,21.25649643,0.0,,3.535533906,6.0,sitting
9.167568564,51.99281114,5.939469561,25.14364243,0.0,,3.598521916,4.0,sitting
9.207789421,51.99326887,5.93877227,22.28176498,0.0,,3.535533906,4.0,sitting
9.30632925,51.99259132,5.939822188,27.51473618,0.0,,3.87496264,4.0,sitting
9.361244917,51.99406851,5.937727718,23.76449203,0.0,,3.87505216,4.0,sitting
9.496070266,51.99403406,5.93787943,32.17788315,0.0,,5.943617948,8.0,sitting
9.502271652,51.99325684,5.938795153,22.06539542,0.0,,4.616452798,3.537357855,sitting
9.71073246,51.9932941,5.938810073,24.84615707,0.0,,3.929170612,6.0,sitting
9.785667896,51.99258286,5.939856553,23.3337059,0.0,,4.965759546,6.0,sitting
9.975293159,51.99290128,5.94014883,26.46175766,0.0,,3.812586164,3.0,sitting
10.08354282,51.99326242,5.938810157,21.19210434,0.0,,3.535533906,6.0,sitting
10.1673907,51.99280753,5.939467466,25.45559311,0.0,131.484375,3.543970817,4.0,sitting
10.20780468,51.99326569,5.938776126,22.52596664,0.0,181.40625,3.535533906,4.0,sitting
10.30633199,51.99258608,5.939817829,27.38100815,0.0,,3.535533906,4.0,sitting
10.36124718,51.99406805,5.937728807,24.05318832,0.0,151.875,3.845260353,4.0,sitting
10.49608457,51.99403439,5.937879179,32.13949203,0.0,315.3515625,5.900170788,8.0,sitting
10.5022769,51.99325684,5.938795153,22.06539542,0.0,,4.623200866,3.528533801,sitting
10.71073675,51.99329289,5.938811833,25.0368309,0.0,207.0703125,3.837295743,6.0,sitting
10.78568089,51.99258281,5.939856302,23.3402977,0.0,,4.515552109,6.0,sitting
