"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.517708344E-3,-2.552641754E0,5.921087036E0,4.652475128E0
2.267170837E-2,-2.800675964E0,6.115532684E0,6.387966156E0
4.282570840E-2,-1.770967255E0,6.122717743E0,8.937314758E0
6.297870842E-2,-9.072633362E-1,6.117927704E0,9.902657318E0
8.313270845E-2,-1.207239532E0,6.154302063E0,8.752748566E0
1.032857085E-1,-1.798509979E0,6.303092651E0,7.228318634E0
1.234397085E-1,-1.918560333E0,6.243366852E0,6.794969788E0
1.435937085E-1,-1.768272858E0,6.192472687E0,6.858587494E0
1.637467085E-1,-1.494641876E0,6.290818176E0,7.206314392E0
1.839007083E-1,-1.180295563E0,6.338718567E0,7.581284637E0
2.040537084E-1,-1.089434509E0,6.177054749E0,7.858957214E0
2.242077084E-1,-1.296004944E0,6.071224823E0,7.809559937E0
2.443617084E-1,-1.390308838E0,6.051016846E0,7.577991486E0
2.645147084E-1,-1.418600006E0,6.065087585E0,7.313192139E0
2.846687085E-1,-1.415755920E0,6.088439026E0,7.261399841E0
3.048217085E-1,-1.440454559E0,6.136938171E0,7.473059692E0
3.249757085E-1,-1.298399963E0,6.083349609E0,7.824229431E0
3.451297085E-1,-1.369951172E0,5.966442719E0,7.846233673E0
3.652827083E-1,-1.543590088E0,6.016588440E0,7.585625610E0
3.854367083E-1,-1.521885223E0,6.090834045E0,7.255412292E0
4.055897084E-1,-1.450483704E0,6.225853271E0,7.184459839E0
4.257437084E-1,-1.256187744E0,6.207291870E0,7.517966309E0
4.458977084E-1,-1.042581940E0,6.228697357E0,7.673343201E0
4.660507084E-1,-1.006956024E0,6.270460510E0,7.716453552E0
4.862047085E-1,-1.150208130E0,6.184539185E0,7.547454987E0
5.063577085E-1,-1.355880432E0,6.149062958E0,7.419321442E0
5.265117085E-1,-1.373244324E0,6.096372528E0,7.467521210E0
5.466657085E-1,-1.183888092E0,6.136040039E0,7.561376038E0
5.668187083E-1,-1.114731903E0,6.103108521E0,7.498506775E0
5.869727083E-1,-1.309476929E0,6.029761047E0,7.472460938E0
6.071257084E-1,-1.409618683E0,5.992488556E0,7.548353119E0
6.272798334E-1,-1.322050781E0,5.991291046E0,7.590864716E0
6.474338335E-1,-1.153950348E0,6.027964783E0,7.738757172E0
6.675868335E-1,-1.049317932E0,6.083499298E0,7.874824219E0
6.877408335E-1,-9.307644653E-1,6.195017395E0,7.874824219E0
7.078938335E-1,-8.689430237E-1,6.268963623E0,7.660919037E0
7.280478335E-1,-8.640032959E-1,6.217470703E0,7.465275879E0
7.482018333E-1,-8.536747742E-1,6.124813385E0,7.536527710E0
7.683548334E-1,-8.581654358E-1,5.992937622E0,7.831713867E0
7.885088334E-1,-8.259823608E-1,5.986051941E0,7.862400055E0
8.086618334E-1,-7.562274170E-1,6.156397705E0,7.802823944E0
8.288158334E-1,-5.860313416E-1,6.216273193E0,7.823630676E0
8.489698335E-1,-6.825805664E-1,6.139632568E0,7.422015839E0
8.691228335E-1,-9.464817810E-1,6.100114746E0,7.005282440E0
8.892768335E-1,-9.494755554E-1,6.061495056E0,7.062164154E0
9.094298335E-1,-7.903564453E-1,5.985004120E0,7.386240234E0
