"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.821738021E0,-7.546364665E-1,8.029116631E0,5.616552830E0
1.841498281E0,-7.594220638E-1,7.999206066E0,5.734100342E0
1.861252916E0,-6.732804775E-1,7.975277901E0,5.741278648E0
1.881013541E0,-8.243274093E-1,8.025527000E0,5.655137062E0
1.900773802E0,-7.905287743E-1,8.021938324E0,5.704190254E0
1.920512760E0,-7.283154130E-1,7.963313580E0,5.590231895E0
1.940284687E0,-7.031907439E-1,7.976474285E0,5.537590027E0
1.960044948E0,-7.378866673E-1,7.916653633E0,5.586642742E0
1.979789010E0,-7.821539044E-1,7.948956966E0,5.723332882E0
1.999541510E0,-7.163512707E-1,7.984848976E0,5.686244011E0
2.019301771E0,-7.857431173E-1,8.021938324E0,5.762814045E0
2.039034114E0,-7.402794957E-1,7.963313580E0,5.815456390E0
2.058814427E0,-6.756733060E-1,7.891230106E0,5.768796444E0
2.078574166E0,-5.679962635E-1,7.815855980E0,5.834599018E0
2.098326562E0,-5.991029739E-1,7.951349735E0,5.649155140E0
2.118057760E0,-8.012964725E-1,8.139185905E0,5.555535793E0
2.137817500E0,-7.319046259E-1,8.042277336E0,5.578267574E0
2.157603281E0,-6.936194897E-1,7.963313580E0,5.755635738E0
2.177350364E0,-6.457630396E-1,7.867301941E0,5.822634697E0
2.197110104E0,-6.278168559E-1,7.916653633E0,5.615356445E0
2.216881979E0,-6.278168559E-1,7.982456207E0,5.628517151E0
2.236664948E0,-6.768696904E-1,7.969295979E0,5.712564945E0
2.256424687E0,-7.390831113E-1,8.045866013E0,5.729314804E0
2.276137968E0,-6.493522525E-1,7.980063438E0,5.708975792E0
2.295892187E0,-6.708876491E-1,8.035098076E0,5.571089268E0
2.315651927E0,-6.720840335E-1,8.054241180E0,5.591428280E0
2.335407604E0,-6.744768620E-1,8.009973526E0,5.641976833E0
2.355142760E0,-7.115656137E-1,8.020741463E0,5.676672459E0
2.374902500E0,-7.079764009E-1,8.013563156E0,5.624927998E0
2.394690156E0,-7.079764009E-1,8.002795219E0,5.513661385E0
2.414458021E0,-7.067800164E-1,8.021938324E0,5.602196217E0
2.434217760E0,-6.553342938E-1,8.014759064E0,5.557928562E0
2.453934896E0,-6.242275834E-1,8.014759064E0,5.526822090E0
2.473708073E0,-5.835496187E-1,7.972885132E0,5.574678421E0
2.493467812E0,-6.326025128E-1,7.975277901E0,5.665904999E0
2.513229323E0,-6.852445602E-1,8.039883614E0,5.753242970E0
2.532969062E0,-6.517450809E-1,8.026723862E0,5.772385597E0
2.552728802E0,-6.314060688E-1,8.013563156E0,5.722136021E0
2.572508489E0,-5.751747489E-1,7.968099594E0,5.657529831E0
2.592218177E0,-5.476573110E-1,7.914260864E0,5.608178139E0
2.611977916E0,-5.596213937E-1,7.922635555E0,5.680262089E0
2.631760312E0,-6.218347549E-1,7.994420528E0,5.647958755E0
2.651533489E0,-6.385845542E-1,7.998009682E0,5.676672459E0
2.671293229E0,-6.026921868E-1,7.948956966E0,5.728118420E0
2.691010260E0,-6.182455420E-1,7.974081516E0,5.659923077E0
2.710773489E0,-5.919244885E-1,7.982456207E0,5.697011471E0
2.730533229E0,-6.326025128E-1,7.959724426E0,5.686244011E0
2.750606198E0,-5.787639618E-1,7.982456207E0,5.656333447E0
2.770048854E0,-5.560321808E-1,8.030312538E0,5.572285652E0
2.789808593E0,-6.421737671E-1,7.975277901E0,5.707779408E0
2.809540156E0,-5.931209326E-1,7.999206066E0,5.633601665E0
2.829287864E0,-5.991029739E-1,8.002795219E0,5.614160061E0
2.849047604E0,-5.907281041E-1,7.927421570E0,5.736493111E0
2.868834843E0,-6.038886309E-1,7.953742504E0,5.662315845E0
2.888569166E0,-5.739783049E-1,7.984848976E0,5.698207855E0
2.908328906E0,-5.991029739E-1,7.959724426E0,5.842973709E0
2.928075156E0,-6.457630396E-1,7.972885132E0,5.746064663E0
2.947850521E0,-5.859424472E-1,8.069794655E0,5.624927998E0
2.967610260E0,-6.182455420E-1,8.104490280E0,5.756832123E0
2.987356458E0,-7.259225845E-1,8.043473244E0,5.766403675E0
3.007110625E0,-6.804589629E-1,7.907082558E0,5.792724609E0
3.026870364E0,-5.198407173E-1,7.772785187E0,6.023931026E0
3.046674479E0,-3.487538993E-1,7.656733513E0,5.918646812E0
