"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.425000753E-4,-3.701053619E0,4.745132446E0,5.896987152E0
1.921149995E-2,-3.086282043E0,4.714146881E0,7.804320831E0
3.936649999E-2,-2.117796021E0,4.862488403E0,9.786049805E0
5.952050001E-2,-1.536255341E0,4.707560577E0,1.042866348E1
7.967549982E-2,-1.820963287E0,4.488865356E0,9.592502289E0
9.983049985E-2,-2.600841522E0,4.308490448E0,8.070018311E0
1.199844999E-1,-3.162623291E0,4.151317291E0,7.403005371E0
1.401394999E-1,-2.960244141E0,4.104165344E0,7.789501648E0
1.602934999E-1,-2.248923340E0,4.075125732E0,8.256530457E0
1.804485000E-1,-1.817969513E0,4.336033173E0,8.245453491E0
2.006035000E-1,-1.797611847E0,4.623585205E0,7.941136322E0
2.207574998E-1,-2.049837341E0,4.724176025E0,7.291936340E0
2.409124998E-1,-2.511177979E0,4.765789490E0,7.278913422E0
2.610664999E-1,-2.472857666E0,4.643344116E0,7.646848297E0
2.812214999E-1,-2.427352295E0,4.592599640E0,8.142916718E0
3.013764999E-1,-2.350561981E0,4.578828278E0,8.444838867E0
3.215305000E-1,-2.051034851E0,4.640649719E0,8.634195099E0
3.416855000E-1,-1.642833710E0,4.839136963E0,8.874595184E0
3.618398749E-1,-1.314416656E0,4.938230896E0,8.891959076E0
3.819948749E-1,-1.228495331E0,4.997657318E0,8.867709503E0
4.021498749E-1,-1.226549377E0,5.111720123E0,8.835825806E0
4.223038750E-1,-1.276994476E0,4.942571869E0,8.743168488E0
4.424588750E-1,-1.579964447E0,4.791086884E0,8.512947235E0
4.626128748E-1,-1.713037720E0,4.617597656E0,8.391699371E0
4.827678748E-1,-1.583257599E0,4.375850372E0,8.505612488E0
5.029228749E-1,-1.604962463E0,4.446054382E0,8.491990814E0
5.230768749E-1,-1.572929077E0,4.637955322E0,8.412506104E0
5.432318749E-1,-1.425485687E0,4.662504272E0,8.174950104E0
5.633858750E-1,-1.583407288E0,4.473447418E0,7.940088501E0
5.835408750E-1,-1.797611847E0,4.445455627E0,7.975864105E0
6.036958748E-1,-1.805096283E0,4.377946014E0,8.042026520E0
6.238498748E-1,-1.880389709E0,4.377197571E0,8.508755951E0
6.440048749E-1,-1.825603638E0,4.343966675E0,9.106313324E0
6.641588749E-1,-1.703008575E0,4.328099670E0,9.201814728E0
6.843138749E-1,-1.813329163E0,4.434678040E0,8.733438721E0
7.044688750E-1,-1.944905548E0,4.716541901E0,8.287066956E0
7.246228750E-1,-1.770368500E0,4.873116302E0,8.500223694E0
7.447778750E-1,-1.817221069E0,4.615202637E0,8.767717438E0
7.649318748E-1,-2.093396759E0,4.314028931E0,8.916358337E0
7.850868749E-1,-2.218985596E0,4.192332001E0,8.882229309E0
8.052408749E-1,-1.996997223E0,4.402195587E0,8.942404175E0
8.253958749E-1,-1.756597137E0,4.492308197E0,8.686586151E0
8.455508749E-1,-1.829794922E0,4.480183411E0,8.400381317E0
8.657048750E-1,-1.857038269E0,4.631369019E0,8.374634857E0
8.858598750E-1,-1.498833160E0,4.639452209E0,8.606802063E0
9.060138748E-1,-1.428030396E0,4.489464111E0,8.766819305E0
9.261688748E-1,-1.628164215E0,4.511019287E0,8.642727356E0
9.463238749E-1,-1.459614716E0,4.712649994E0,8.483458557E0
9.664778749E-1,-1.186582489E0,4.912185059E0,8.405470734E0
9.866328749E-1,-1.151555328E0,4.819827118E0,8.625363464E0
1.006786875E0,-1.274150391E0,4.388873291E0,8.628656616E0
1.026941875E0,-1.430425415E0,4.229754181E0,8.743617554E0
1.047095875E0,-1.260079651E0,4.266128540E0,8.860225067E0
1.067250875E0,-1.066232758E0,4.338877258E0,8.871900787E0
1.087405875E0,-1.037941589E0,4.425097961E0,8.820856934E0
1.107559875E0,-1.040186920E0,4.493505707E0,8.823251953E0
1.127714875E0,-1.026565247E0,4.455335083E0,8.717272339E0
1.147868875E0,-1.057850189E0,4.304897919E0,8.988957367E0
1.168023875E0,-1.134939880E0,4.095932465E0,9.014853516E0
1.188177875E0,-1.376836853E0,4.193379822E0,8.567882996E0
1.208332875E0,-1.326691132E0,4.364024963E0,8.023315430E0
1.228487875E0,-1.234782257E0,4.474644928E0,7.971373444E0
1.248641875E0,-1.221310272E0,4.461172943E0,8.380772095E0
1.268796875E0,-1.202599182E0,4.229604492E0,8.969048767E0
1.288950875E0,-1.180594940E0,4.140839081E0,9.206305389E0
1.309105875E0,-1.139430542E0,4.054468689E0,8.985514526E0
1.329259875E0,-1.068927155E0,4.112847290E0,8.682095490E0
1.349414875E0,-9.219328308E-1,4.367916870E0,8.431516571E0
1.369568917E0,-5.846841431E-1,4.655768280E0,8.696166229E0
1.389722917E0,-3.210823059E-1,4.653672638E0,9.143735504E0
1.409877917E0,-5.418731689E-1,4.531676331E0,9.102421417E0
1.430031917E0,-8.463400269E-1,4.429738312E0,8.875493317E0
1.450186917E0,-7.580236816E-1,4.373455353E0,8.929081879E0
1.470340917E0,-5.792953491E-1,4.388873291E0,9.082213440E0
1.490495917E0,-6.146218872E-1,4.351900177E0,9.061556396E0
1.510650916E0,-8.780740356E-1,4.227508850E0,8.685688019E0
1.530804917E0,-1.035696259E0,4.257446594E0,8.621172180E0
1.550959917E0,-9.062155151E-1,4.289180603E0,8.648565216E0
1.571113917E0,-9.225315857E-1,4.209396515E0,8.414302368E0
1.591268917E0,-1.042881317E0,4.436174927E0,8.110284576E0
1.611422917E0,-9.018745422E-1,4.744833069E0,8.178542633E0
1.631577917E0,-6.343807983E-1,4.761747894E0,8.705895996E0
1.651731916E0,-6.075865173E-1,4.640799408E0,9.189390564E0
1.671886917E0,-6.339317322E-1,4.514462128E0,9.203311615E0
1.692041917E0,-5.628295898E-1,4.526586914E0,8.904233551E0
1.712195917E0,-4.427792358E-1,4.660408630E0,8.670419769E0
1.732350917E0,-3.710783386E-1,4.710404663E0,8.546477509E0
1.752504917E0,-2.201921082E-1,4.663701782E0,8.562643890E0
1.772659917E0,-1.538800049E-1,4.662504272E0,8.571475525E0
1.792813917E0,-3.137475586E-1,4.828509064E0,8.478668518E0
1.812968916E0,-5.496569824E-1,4.911436615E0,7.818092194E0
1.833122917E0,-7.837701416E-1,4.917274475E0,7.637866974E0
1.853277917E0,-6.499484253E-1,4.876110077E0,8.228538666E0
1.873432917E0,-3.547622681E-1,4.840184784E0,8.867709503E0
1.893586917E0,-1.498384094E-1,4.775818634E0,9.199270020E0
1.913741917E0,-2.830613708E-1,4.791386261E0,8.982670441E0
1.933895917E0,-6.149212646E-1,4.801415405E0,8.500223694E0
1.954050916E0,-7.496411133E-1,4.763244781E0,8.427774353E0
1.974204917E0,-5.839356995E-1,4.708608398E0,8.832981720E0
1.994359917E0,-5.867797852E-1,4.608766022E0,9.111702118E0
2.014513917E0,-6.328839111E-1,4.480782166E0,9.056916046E0
2.034668917E0,-5.891748047E-1,4.451592865E0,8.699609070E0
2.054823917E0,-5.176235962E-1,4.532574463E0,8.346044312E0
2.074977917E0,-4.828958130E-1,4.742887115E0,8.283474426E0
2.095132916E0,-4.110452271E-1,4.792134705E0,8.422984314E0
2.115286916E0,-3.312611389E-1,4.792583771E0,8.537645874E0
2.135441917E0,-2.109114075E-1,4.814438324E0,8.619675293E0
2.155595917E0,-2.381547546E-1,4.854255524E0,8.676557007E0
2.175750917E0,-4.346960449E-1,4.775519257E0,8.555159454E0
2.195904917E0,-5.207670593E-1,4.596042480E0,8.537795563E0
